
章节,章节名称,题型,题号,题目,选项A,选项B,选项C,选项D,标准答案,解析
第1章,计算思维,单选题,1,机器人研究的最后一个阶段是（）。,遥控机器人,程序机器人,自适应机器,智能机器人,D,机器人研究的阶段包括程序控制机器人、自适应机器人和智能机器人，最后一个阶段是智能机器人，所以选D。
第1章,计算思维,单选题,2,第二代计算机采用（）为主要电子元器件。,电子管,晶体管,中小规模集成电路,超大规模集成电路,B,第二代计算机采用晶体管（transistor）作为主要的电子元器件。晶体管是一种能够控制电流的半导体器件，它可以用来放大和开关电信号，从而实现计算机的逻辑操作和数据处理，所以选B。
第1章,计算思维,单选题,3,1956年，（）在达特茅斯会议上正式提出人工智能的概念，标志着人工智能学科的诞生。,香侬,明斯基,麦卡锡,图灵,C,1956年，达特茅斯学院人工智能夏季研讨会上，麦卡锡正式提出人工智能这一术语，被称为人工智能之父。这是人类历史上第一次关于人工智能的研讨，标志着人工智能学科的诞生，所以选C。
第1章,计算思维,单选题,4,人工智能的研究目标是让机器能够（），以实现某些"机器思维"或脑力活动的自动化。,具有智能,和人一样工作,完全代替人的大脑,模拟、延伸和扩展人的智能,D,人工智能的研究目标是让机器能够模拟、延伸和扩展人的智能，以实现某些"机器思维"或脑力活动的自动化，所以选D。
第1章,计算思维,单选题,5,主要应用于尖端科学技术领域和国防事业领域，标志着一个国家计算机技术的发展水平的计算机是（）。,巨型计算机,大型计算机,中小型计算机,微型计算机,A,巨型计算机具有运算速度快、存储容量大和精确度高等特点，主要应用于尖端科学技术领域和国防事业领域，标志着一个国家计算机技术的发展水平，所以选A。
第1章,计算思维,单选题,6,微型计算机中，采用的基本元器件为（）。,电子管,晶体管,中小规模集成电路,超大规模集成电路,D,20世纪70年代以后，开始采用大规模、超大规模集成电路作为计算机的基本逻辑部件，使计算机体积、质量、成本均大幅度降低，出现了微型计算机，所以选D。
第1章,计算思维,单选题,7,世界上第一台通用电子数字计算机诞生于美国的宾夕法尼亚大学，英文简称为（）。,ENIAC,UNIVAC,UNIVAC 1100,PDP-8,A,1946年，世界上第一台通用电子数字计算机ENIAC（Electronic Numerical Integrator and Computer）在美国的宾夕法尼亚大学研制成功，所以选A。
第1章,计算思维,单选题,8,第一代计算机采用（）为主要电子元器件。,电子管,晶体管,中小规模集成电路,超大规模集成电路,A,第1-4代计算机分别采用电子管、晶体管、中小规模集成电路和大、超大规模集成电路为主要电子元器件，所以选A。
第1章,计算思维,单选题,9,要想让机器具有智能，必须让机器具有知识。因此，在人工智能中有一个研究领域，主要研究计算机如何自动获取知识和技能，实现自我完善，这门研究分支学科叫（）。,专家系统,机器学习,神经网络,模式识别,B,机器学习是人工智能中的一个研究领域，主要研究计算机如何自动获取知识和技能，实现自我完善，所以选B。
第1章,计算思维,单选题,10,人工智能的目的是让机器能够（），以实现某些脑力劳动的机械化。,具有智能,和人一样工作,完全代替人的大脑,模拟、延伸和扩展人的智能,D,人工智能的目的是让机器能够模拟、延伸和扩展人的智能，以实现某些脑力劳动的机械化，所以选D。
第1章,计算思维,单选题,11,目前大多数计算机以被誉为"计算机之父"的（）提出的"存储程序控制"设计思想为理论基础。,冯·诺依曼,图灵,香侬,麦卡锡,A,目前大多数计算机以科学家冯·诺依曼提出的存储程序原理设计思想为理论基础，即计算机的控制器根据存放在存储器中的程序（指令序列）进行工作，所以选A。
第1章,计算思维,单选题,12,世界上第一台通用电子数字计算机于（）诞生于美国的宾夕法尼亚大学，英文简称为ENIAC。,1940年,1941年,1945年,1946年,D,世界上第一台通用电子数字计算机于1946年2月诞生于美国的宾夕法尼亚大学，英文简称为ENIAC，所以选D。
第1章,计算思维,单选题,13,研究、设计和应用智能机器或智能系统来模拟人类智能活动的能力，以延伸人类智能的科学是（）。,人工智能,遗传算法,机器学习,模式识别,A,人工智能（Artificial Intelligence,AI），又称为机器智能（Machine Intelligence,MI），是研究、设计和应用智能机器或智能系统来模拟人类智能活动的能力，以延伸人类智能的科学，所以选A。
